Fiscal Year,Title,Funding Opportunity,Awardee,State,Award Number,Award Amount,Award Status
2024,"Heal Our Youth: A Mixed Methods, Hybrid Effectiveness Implementation Trial for Reducing Community Violence Among Youth in Limited-Opportunity Settings",NIJ FY24 Community-Based Violence Intervention and Prevention Initiative (CVIPI) Research and Evaluation,"MOSES-WEITZMAN HEALTH SYSTEM, INC.",CT,15PNIJ-24-GG-02987-CVIP,"$1,000,000",Open
2024,How to Free a Butterfly: The Impact of Fair Chance Housing Ordinances on the Housing Outcome of System-Impacted Black Individuals,NIJ FY24 Graduate Research Fellowship,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",CA,15PNIJ-24-GG-01575-RESS,"$47,052",Open
2024,Human Trafficking Data Project,NIJ FY24 Invited to Apply - Byrne Discretionary Community Project Grants/Byrne Discretionary Grants Program,UNIVERSITY OF SOUTH FLORIDA,FL,15PNIJ-24-GG-00121-BRND,"$963,000",Open
2024,Identifying and Treating Overdose Hotspots:  A Randomized Controlled Trial of Place-Based Harm Reduction Strategies,NIJ FY24 Field-Initiated Action Research Partnerships,CINCINNATI UNIV OF,OH,15PNIJ-24-GG-05454-NIJB,"$356,130",Open
2024,Identifying Class and Individual Characteristics of Printer Marks on Additively Manufactured Firearm Components,NIJ FY24 Research and Development in Forensic Science for Criminal Justice Purposes,National Institute of Standards and Technology,,DJO-NIJ-25-RO-0001,"$389,657",Open
2024,"Impact and Outcomes of a Hospital-Based Violence Intervention Program in Columbia, SC",NIJ FY24 Community-Based Violence Intervention and Prevention Initiative (CVIPI) Research and Evaluation,UNIVERSITY OF SOUTH CAROLINA,SC,15PNIJ-24-GK-02988-CVIP,"$1,064,927",Open
2024,Improving Fire Pattern Analysis Using Non-Invasive Sensor Technologies,NIJ FY24 Research and Development in Forensic Science for Criminal Justice Purposes,JENSEN HUGHES INC,MD,15PNIJ-24-GG-03845-RESS,"$630,560",Open
2024,"Improving Measurement of Community Safety Perceptions with Enhanced Data Inclusivity and Novel Use of Small Area Estimation through Respondent Driven Sampling: A Pilot Study in Detroit, Michigan",NIJ FY24 Measurement of Community Perceptions,REGENTS OF THE UNIVERSITY OF MICHIGAN,MI,15PNIJ-24-GG-02843-RESS,"$999,999",Open
2024,Improving police-public relationships through intergroup contact: A mixed-methods evaluation of the Voices communication intervention,NIJ FY24 Graduate Research Fellowship,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA",CA,15PNIJ-24-GG-01576-RESS,"$180,000",Open
2024,Improving the Data Interpretation Process in Forensic Fire Debris Analysis,NIJ FY24 Research and Development in Forensic Science for Criminal Justice Purposes,MARSHALL UNIVERSITY RESEARCH CORPORATION,WV,15PNIJ-24-GG-03847-NIJB,"$179,968",Past Project Period End Date
2024,Improving the Systems Response to Victims of Human Trafficking with Substance Use Disorders in Minnesota,NIJ FY24 Field-Initiated Action Research Partnerships,RESEARCH TRIANGLE INSTITUTE,NC,15PNIJ-24-GG-05452-NIJB,"$399,969",Open
2024,Incentivized Informants and Wrongful Convictions: Understanding the Risks and Mitigating the Effects,NIJ FY24 W.E.B. Du Bois Program of Research on Reducing Racial and Ethnic Disparities in the Justice System,LIFE AFTER JUSTICE,IL,15PNIJ-24-GK-03091-MUMU,"$1,133,976",Open
2024,Infusing Evidence into Police Reform: Field Initiated Action Research with the Louisville Metro Police Department,NIJ FY24 Field-Initiated Action Research Partnerships,"OHIO STATE UNIVERSITY, THE",OH,15PNIJ-24-GG-05460-NIJB,"$403,512",Open
2024,Intelligence-Led Policing in New Jersey: Data Integration to Support the Investigation of Gun Crimes,NIJ FY24 Research and Evaluation of Policing Practices,NORTHEASTERN UNIVERSITY,MA,15PNIJ-24-GG-02572-RESS,"$877,946",Open
2024,Intergenerational Legal System Involvement Among Juvenile Justice-Involved Females and Their Offspring: Opportunities for Prevention,NIJ FY24 Longitudinal Research on Delinquency and Crime,IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY,IA,15PNIJ-24-GG-00871-TITL,"$1,001,902",Open
2024,Investigations Toward Development of a Technique for Rapid Identification of Forensically Relevant Necrophagous Beetle Species for Postmortem Interval Determination,NIJ FY24 Graduate Research Fellowship,"RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK, THE",NY,15PNIJ-24-GG-01567-RESS,"$111,822",Open
2024,Jury Deliberations of Child Witnesses with Autism Spectrum Disorder,NIJ FY24 Graduate Research Fellowship,THE UNIVERSITY OF TEXAS AT SAN ANTONIO,TX,15PNIJ-24-GG-01572-RESS,"$180,000",Open
2024,Lead by Example: The Effects of Police Supervisors on Officer Behavior,NIJ FY24 Graduate Research Fellowship,UNIVERSITY OF ARIZONA,AZ,15PNIJ-24-GG-01582-RESS,"$39,499",Open
2024,Learning from an Implementation and Outcome Evaluation of the Colorado Threat Assessment and Management Protocol,NIJ FY24 Research and Evaluation on School Safety,THE REGENTS OF THE UNIVERSITY OF COLORADO,CO,15PNIJ-24-GG-01049-MUMU,"$1,199,320",Open
2024,Leisure Risk for Youth on Probation: How it Relates to Recidivism and How Probation Officers Address it in Case Planning,NIJ FY24 Graduate Research Fellowship,DREXEL UNIVERSITY,PA,15PNIJ-24-GG-01574-RESS,"$86,385",Open
2024,"Mass Shooter Leakage and Threats: A Multifaceted Assessment of Motives, Timing, Digital Behavior, and Opportunities for Attack Prevention",NIJ FY24 Research and Evaluation on Firearm Violence and Mass Shootings,WILLIAM PATERSON UNIVERSITY OF NEW JERSEY,NJ,15PNIJ-24-GG-02405-RESS,"$523,900",Open
2024,"More than a 'McJob': Criminal records, education, and access to middle-skill jobs",NIJ FY24 Graduate Research Fellowship,NORTHEASTERN UNIVERSITY,MA,15PNIJ-24-GG-01577-RESS,"$25,322",Open
